name,0_x,0_y,0_z,0_vis,1_x,1_y,1_z,1_vis,2_x,2_y,2_z,2_vis,3_x,3_y,3_z,3_vis,4_x,4_y,4_z,4_vis,5_x,5_y,5_z,5_vis,6_x,6_y,6_z,6_vis,7_x,7_y,7_z,7_vis,8_x,8_y,8_z,8_vis,9_x,9_y,9_z,9_vis,10_x,10_y,10_z,10_vis,11_x,11_y,11_z,11_vis,12_x,12_y,12_z,12_vis,13_x,13_y,13_z,13_vis,14_x,14_y,14_z,14_vis,15_x,15_y,15_z,15_vis,16_x,16_y,16_z,16_vis,17_x,17_y,17_z,17_vis,18_x,18_y,18_z,18_vis,19_x,19_y,19_z,19_vis,20_x,20_y,20_z,20_vis,21_x,21_y,21_z,21_vis,22_x,22_y,22_z,22_vis,23_x,23_y,23_z,23_vis,24_x,24_y,24_z,24_vis
homefco_3_6_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_2,0.510550261,0.545664907,0.575498223,0.700220108,0.514432728,0.540453196,0.593434155,0.748717487,0.514279544,0.538760364,0.593437374,0.76510334,0.514264941,0.537006259,0.593392968,0.765736699,0.515538216,0.545716047,0.596212864,0.743263066,0.515948892,0.547343254,0.596075058,0.769914448,0.516769052,0.549009919,0.596253812,0.807837784,0.512162209,0.532064199,0.60479182,0.729782641,0.516525924,0.553459764,0.614571452,0.774717867,0.509940386,0.544559479,0.571839094,0.570711076,0.511121631,0.548808455,0.57502079,0.5682019,0.501433015,0.511653125,0.487560481,0.989135742,0.518786371,0.578728497,0.484403074,0.990780532,0.498548716,0.48333928,0.489669859,0.110377409,0.482271165,0.569048703,0.512484312,0.058932722,0.431496114,0.492216527,0.553417027,0.132458195,0.421647966,0.553323925,0.680198252,0.03685857,0.418860734,0.495071024,0.581229806,0.181037202,0.40947175,0.551732481,0.709654152,0.051100373,0.411801994,0.496074796,0.594745815,0.172204629,0.409481913,0.549986124,0.725599587,0.051200286,0.415033698,0.498390675,0.562190652,0.131030634,0.41037032,0.547938704,0.687919736,0.053921737,0.564317882,0.515300989,0.007584719,0.999533415,0.585662007,0.562294722,-0.008486916,0.999758661
homefco_3_6_0_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homefco_3_6_0_9,0.670907319,0.727209628,-0.748183429,0.729658067,0.661115229,0.738568723,-0.743254066,0.773599088,0.658403039,0.738763273,-0.743277907,0.787988126,0.647178054,0.73943007,-0.743391573,0.788930833,0.67985028,0.742142558,-0.749237239,0.768649757,0.69129169,0.740782976,-0.749514043,0.79232192,0.693321347,0.74049747,-0.749662638,0.826810002,0.647283912,0.738452554,-0.600836635,0.756201982,0.702831745,0.737293959,-0.637989283,0.796262264,0.652884424,0.719473958,-0.683271587,0.61337626,0.679425597,0.71678102,-0.694391489,0.611167729,0.586991966,0.697240949,-0.467130631,0.989479601,0.745159686,0.692917109,-0.485704601,0.991527796,0.555881858,0.610046089,-0.313998133,0.153940752,0.777766347,0.637008786,-0.484781682,0.128670052,0.547759175,0.548002005,-0.256617546,0.165573701,0.751489818,0.619511425,-0.571853876,0.089660913,0.53814429,0.53064394,-0.270516753,0.205093473,0.745041609,0.614815354,-0.604867518,0.09495461,0.545368254,0.531191409,-0.299863458,0.198654771,0.743333578,0.619243085,-0.613819063,0.096762493,0.556165874,0.53747344,-0.265321195,0.16186744,0.7394467,0.619461834,-0.576706886,0.097524732,0.542521417,0.578174353,0.006592489,0.99895072,0.62952745,0.574150026,-0.006962079,0.999560177
